file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Diagnosi,['PHC_Diagnosis'],DX/MCI,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI4, ADNI3",,1906.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,ID,RID,RID,,<class 'numpy.int64'>,,"7121.0, 2.0",1906.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,EXAMDATE,,<class 'str'>,"2005-08-17, 2010-09-22, 2011-09-19, 2005-08-29, 2010-09-27",,1906.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,,<class 'numpy.float64'>,,"20.0, 6.0",1901.0,5.0,,keep,cofattore,,,,
Participant Demographics,PTDEMOG,Visit,VISCODE2,VISCODE,,<class 'str'>,"sc, m72, m228, m60, m222",,1904.0,2.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,,,VISIT_MONTH,,<class 'numpy.float64'>,,"226.0, 0.0",1906.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,,,AGE,,<class 'numpy.float64'>,,"104.0, 50.0",1906.0,0.0,,keep,,,,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/female,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Sex,['PTGENDER'],GENDER/male,,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/divorced,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/married,,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/single,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Marry,['PTMARRY'],MARRY/widowed,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTETHCAT'],ETHNICITY/not_latino,,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Asian,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Black,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Mixed,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/Native_american,,<class 'numpy.bool'>,"False, True",,1906.0,0.0,,keep,cofattore,,,,
Participant Demographic Information,PTDEMOG,Ethnicity,['PTRACCAT'],RACE/White,,<class 'numpy.bool'>,"True, False",,1906.0,0.0,,keep,cofattore,,,,
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",None,11848.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,ID,RID,RID,,<class 'numpy.int64'>,None,"10151.0, 2.0",11848.0,0.0,,keep,,,,,
Mini Mental State Exam,MMSE,Visit,VISDATE,EXAMDATE,,<class 'str'>,"2005-08-17, 2006-03-06, 2008-08-27, 2010-09-22, 2011-09-19",None,11845.0,3.0,,keep,,,,,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSE,,<class 'numpy.float64'>,None,"30.0, -1.0",11848.0,0.0,,keep,predittore,scala,,,
