file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,BLENNOWCSFNFL,,,Npositive,,<class 'numpy.int64'>,1,"1.0, 1.0",399.0,0.0,pop not found,keep,,,,
,BLENNOWCSFNFL,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWCSFNFL,,,METHOD,,,,,,,,,,,,
,BLENNOWCSFNFL,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWCSFNFL,,,METHOD,,,,,,,,,,,,
,BLENNOWCSFNFL,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWCSFNFL,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMANFL,,RID,RID,,<class 'numpy.int64'>,,"5296.0, 2.0",3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,VISCODE2,VISCODE,,<class 'str'>,"m60, m72, m84, m96, m108",,3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,PLASMA_NFL,NFL_PL,,<class 'numpy.float64'>,,"451.0, 6.4",3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,,VISIT_MONTH,,<class 'numpy.int64'>,,"96.0, 0.0",3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,,METHOD,,<class 'str'>,elisa,,3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,,Npositive,,<class 'numpy.int64'>,0,"0.0, 0.0",3709.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMANFL,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMANFL,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMANFL,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMANFL,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMATAU,,RID,RID,,<class 'numpy.int64'>,,"1435.0, 2.0",575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,VISCODE,VISCODE,,<class 'str'>,bl,,575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,PLASMATAU,TTAU_PL,,<class 'numpy.float64'>,,"17.55, 0.08",575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,,METHOD,,<class 'str'>,simoa,,575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,,Tpositive,,<class 'numpy.int64'>,0,"0.0, 0.0",575.0,0.0,pop not found,keep,,,,
,BLENNOWPLASMATAU,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,METHOD,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,VISIT_MONTH,,,,,,,,,,,,
,BLENNOWPLASMATAU,,,METHOD,,,,,,,,,,,,
,C2N_PRECIVITYAD2_PLASMA,Cohort,PHASE,COHORT,,<class 'str'>,ADNI4,,676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,RID,RID,,<class 'numpy.int64'>,,"10470.0, 21.0",676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,VISCODE2,VISCODE,,<class 'str'>,"m216, m210, m204, m222, m162",,676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,EXAMDATE,EXAMDATE,,<class 'datetime.date'>,,,676.0,0.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,pT217_C2N,PT217_PL,,<class 'numpy.float64'>,,"19.358, 0.65",673.0,3.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,npT217_C2N,nPT217_PL,,<class 'numpy.float64'>,,"186.402, 13.651",672.0,4.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,AB42_C2N,AB42_PL,,<class 'numpy.float64'>,,"108.247, 15.261",668.0,8.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
,C2N_PRECIVITYAD2_PLASMA,,AB40_C2N,AB40_PL,,<class 'numpy.float64'>,,"1072.476, 98.146",668.0,8.0,"ADNI1, ADNIGO, ADNI2, ADNI3",keep,,,,
