file_name,file_code,parameter,orig_variable_code,variable_code,Unit,type_variable,classes,range,subj_tot,subj_multiple_visits,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15,population
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Tau,PHC_pTau,PT181_CSF_z,,<class 'numpy.float64'>,None,"2.95236525879149, -2.97667099545672",1238.0,0.0,1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,ATN_profile,AT_class,AT_profile,,<class 'str'>,"A+T-, A-T-, A+T+, A-T+, nan",None,1236.0,0.0,1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,Platform,METHOD,,<class 'str'>,alzbio3,None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Other,update_stamp,update_stamp,,<class 'str'>,2025-05-19 11:07:33.0,None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,VISIT_MONTH,,<class 'numpy.int64'>,0,"0.0, 0.0",1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Tprofile,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",1236.0,0.0,1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Aprofile,,<class 'numpy.float64'>,"1.0, 0.0, nan","1.0, 0.0",1236.0,0.0,1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,TTAU_AB42_CSF,,<class 'numpy.float64'>,None,"3.5844748858447493, 0.0911392405063291",1209.0,0.0,1209.0,36.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,PT181_AB42_CSF,,<class 'numpy.float64'>,None,"1.8781094527363185, 0.0330143540669856",1236.0,0.0,1236.0,9.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Apositive,,<class 'numpy.float64'>,"1.0, 0.0, nan","1.0, 0.0",1242.0,0.0,1242.0,3.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Tpositive,,<class 'numpy.float64'>,"0.0, 1.0, nan","1.0, 0.0",1238.0,0.0,1238.0,7.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,,,Npositive,,<class 'numpy.float64'>,"0.0, nan, 1.0","1.0, 0.0",1212.0,0.0,1212.0,33.0,"ADNI3, ADNI4",keep,,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/female,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Sex,['PHC_Sex'],GENDER/male,,<class 'numpy.bool'>,"True, False",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
ADSP Phenotype Harmonization Consortium (PHC) - Composite Biomarker Scores,ADSP_PHC_BIOMARKER,Ethnicity,['PHC_Ethnicity'],ETHNICITY/latino,,<class 'numpy.bool'>,"False, True",None,1245.0,0.0,1245.0,0.0,"ADNI3, ADNI4",keep,cofattore,,,,
