file_name,file_code,parameter,variable_code,Unit,type_variable,classes,range,valid_values,missing_values,missing_pop,del,metadati_fattori,metadati_normalizzazione,Unnamed: 14,Unnamed: 15
,UCBERKELEY_TAUPVC_6MM,,CTX_INFERIORPARIETAL_SUVR,,<class 'numpy.float64'>,None,"8.66, 0.811",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_INFERIORPARIETAL_VOLUME,,<class 'numpy.float64'>,None,"37678.0, 12378.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_INFERIORTEMPORAL_SUVR,,<class 'numpy.float64'>,None,"8.074, 0.687",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_INFERIORTEMPORAL_VOLUME,,<class 'numpy.float64'>,None,"31454.0, 9660.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_LATERALOCCIPITAL_SUVR,,<class 'numpy.float64'>,None,"11.414, 0.454",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_LATERALOCCIPITAL_VOLUME,,<class 'numpy.float64'>,None,"35627.0, 9370.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_MIDDLETEMPORAL_SUVR,,<class 'numpy.float64'>,None,"6.668, 0.508",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_MIDDLETEMPORAL_VOLUME,,<class 'numpy.float64'>,None,"31685.0, 11213.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_PARAHIPPOCAMPAL_SUVR,,<class 'numpy.float64'>,None,"5.406, 0.279",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_PARAHIPPOCAMPAL_VOLUME,,<class 'numpy.float64'>,None,"5685.0, 1751.0",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_PRECUNEUS_SUVR,,<class 'numpy.float64'>,None,"8.131, 0.717",2094,12,pop not found,keep,,,,
,UCBERKELEY_TAUPVC_6MM,,CTX_PRECUNEUS_VOLUME,,<class 'numpy.float64'>,None,"27581.0, 9272.0",2094,12,pop not found,keep,,,,
