file_name,file_code,parameter,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCDEPRES,<class 'numpy.float64'>,"-4.0, 0.0, 1.0, nan","1.0, -4.0",10263.0,4981.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,<class 'numpy.float64'>,"-4.0, 0.0, 1.0, nan","1.0, -4.0",12120.0,3124.0,,0.0
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,<class 'numpy.float64'>,"-4.0, 1.0, 0.0, -1.0, nan","1.0, -4.0",10175.0,5069.0,,0.0
Participant Demographic Information,PTDEMOG,ID,PTID,<class 'str'>,"011_S_0002, 022_S_0001, 011_S_0003, 022_S_0004, 011_S_0005",,6047.0,0.0,,0.0
Participant Demographic Information,PTDEMOG,Cohort,PHASE,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,6047.0,0.0,,0.0
Participant Demographic Information,PTDEMOG,ID,RID,<class 'numpy.int64'>,,"10816.0, 1.0",6047.0,0.0,,0.0
Participant Demographic Information,PTDEMOG,Visit,VISDATE,<class 'str'>,"2005-08-17, 2005-08-18, 2005-08-23, 2005-08-25, 2005-08-26",,6038.0,9.0,,0.0
Participant Demographic Information,PTDEMOG,Sex,PTGENDER,<class 'numpy.float64'>,"1.0, 2.0, -4.0, nan","2.0, -4.0",5919.0,128.0,,0.0
Participant Demographic Information,PTDEMOG,Age,PTDOB,<class 'str'>,"04/1931, 12/1944, 05/1924, 01/1938, 12/1931",,5860.0,187.0,,0.0
Participant Demographic Information,PTDEMOG,Marry,PTMARRY,<class 'numpy.float64'>,"1.0, 2.0, 3.0, 4.0, 5.0, -4.0, nan, 6.0","6.0, -4.0",6032.0,15.0,,0.0
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,<class 'numpy.float64'>,,"20.0, -4.0",5900.0,147.0,,0.0
Participant Demographic Information,PTDEMOG,Other,PTADBEG,<class 'numpy.float64'>,,"2010.0, -4.0",1512.0,4535.0,"ADNI2, ADNI3, ADNI4",1.0
Participant Demographic Information,PTDEMOG,Ethnicity,PTETHCAT,<class 'numpy.float64'>,"2.0, -4.0, 1.0, 3.0, nan","3.0, -4.0",5920.0,127.0,,0.0
Participant Demographic Information,PTDEMOG,Ethnicity,PTRACCAT,<class 'str'>,"5, -4, 6, 4, 2",,5919.0,128.0,,0.0
Participant Demographics,PTDEMOG,Visit,VISCODE2,<class 'str'>,"sc, f, m06, bl, m12",,6037.0,10.0,,0.0
Participant Demographics,PTDEMOG,Age,PTDOBYY,<class 'numpy.float64'>,,"1971.0, 1915.0",5860.0,187.0,,0.0
Participant Demographics,PTDEMOG,Other,PTCOGBEG,<class 'numpy.float64'>,,"9999.0, 1980.0",4275.0,1772.0,ADNI1,0.0
Participant Demographics,PTDEMOG,Diagnosi,PTADDX,<class 'numpy.float64'>,,"9999.0, 1980.0",3816.0,2231.0,"ADNI1, ADNIGO",1.0
Mini Mental State Exam,MMSE,ID,PTID,<class 'str'>,"011_S_0002, 022_S_0001, 011_S_0003, 022_S_0004, 011_S_0005",,14337.0,0.0,,0.0
Mini Mental State Exam,MMSE,Cohort,PHASE,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,14337.0,0.0,,0.0
Mini Mental State Exam,MMSE,ID,RID,<class 'numpy.int64'>,,"10816.0, 1.0",14337.0,0.0,,0.0
Mini Mental State Exam,MMSE,Visit,VISDATE,<class 'str'>,"2005-08-17, 2005-08-18, 2005-08-23, 2005-08-26, 2005-08-25",,14320.0,17.0,,0.0
Mini Mental State Exam,MMSE,MMSE,MMSCORE,<class 'numpy.float64'>,,"30.0, -1.0",14195.0,142.0,,0.0
Mini Mental State Exam,MMSE,Visit,VISCODE2,<class 'str'>,"sc, f, m06, m12, m18",,14319.0,18.0,,0.0
