file_name,file_code,parameter,orig_variable_code,variable_code,type_variable,classes,range,valid_values,missing_values,missing_pop,del,Metadati_fattori
Diagnostic Summary - Baseline Changes,BLCHANGE,Other,BCSTROKE,BCSTROKE,<class 'numpy.float64'>,"0.0, 1.0, nan",,9452.0,1.0,,False,predittore
Diagnostic Summary - Baseline Changes,BLCHANGE,CDR,BCCDR,CDR,<class 'numpy.float64'>,"1.0, 0.0, -1.0, nan",,9398.0,55.0,,False,predittore
Participant Demographic Information,PTDEMOG,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0008, 100_S_0015, 011_S_0021, 023_S_0031",,1907.0,0.0,,False,
Participant Demographic Information,PTDEMOG,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,1907.0,0.0,,False,
Participant Demographic Information,PTDEMOG,ID,RID,RID,<class 'numpy.int64'>,,,1907.0,0.0,,False,
Participant Demographic Information,PTDEMOG,Visit,VISDATE,VISDATE,<class 'datetime.date'>,,,1906.0,1.0,,False,
Participant Demographic Information,PTDEMOG,Sex,PTGENDER,GENDER,<class 'numpy.int64'>,"1, 0",,1907.0,0.0,,False,
Participant Demographic Information,PTDEMOG,Age,PTDOB,PTDOB,<class 'datetime.date'>,,,1907.0,0.0,,False,
Participant Demographic Information,PTDEMOG,Marry,PTMARRY,MARRY,<class 'numpy.int64'>,"1, 2, 3, 0, <NA>",,1887.0,20.0,,False,cofattore
Participant Demographic Information,PTDEMOG,Education,PTEDUCAT,EDUCAT,<class 'numpy.float64'>,,,1902.0,5.0,,False,cofattore
Participant Demographic Information,PTDEMOG,Other,PTADBEG,PTADBEG,<class 'numpy.float64'>,"nan, 2002.0, -1.0, 2009.0, 2010.0, 2005.0, 2008.0, 2007.0, 2004.0",,49.0,1858.0,"ADNI2, ADNI3, ADNI4",True,cofattore
Participant Demographic Information,PTDEMOG,Ethnicity,PTETHCAT,ETHNICITY,<class 'numpy.int64'>,"0, 1, <NA>",,1904.0,3.0,,False,cofattore
Participant Demographic Information,PTDEMOG,Ethnicity,PTRACCAT,RACE,<class 'numpy.int64'>,"5, 4, 2, 0, 1, <NA>",,1891.0,16.0,,False,cofattore
Participant Demographics,PTDEMOG,Visit,VISCODE2,VISCODE,<class 'int'>,,"228.0, 0.0",1907.0,0.0,,False,
Participant Demographics,PTDEMOG,Age,PTDOBYY,PTDOBYY,<class 'numpy.float64'>,,,1907.0,0.0,,False,cofattore
Participant Demographics,PTDEMOG,Other,PTCOGBEG,PTCOGBEG,<class 'numpy.float64'>,,,1486.0,421.0,ADNI1,False,
Participant Demographics,PTDEMOG,Diagnosi,PTADDX,DX,<class 'numpy.float64'>,,,1252.0,655.0,"ADNI1, ADNIGO",False,predittore
Participant Demographics,PTDEMOG,Age,,AGE,<class 'numpy.float64'>,,,1906.0,1.0,,False,
,PTDEMOG,,,AGE,,,,,,,,
Mini Mental State Exam,MMSE,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0003, 022_S_0004, 011_S_0005, 022_S_0007",,11853.0,0.0,,False,predittore
Mini Mental State Exam,MMSE,Cohort,PHASE,COHORT,<class 'str'>,"ADNI1, ADNIGO, ADNI2, ADNI3, ADNI4",,11853.0,0.0,,False,cofattore
Mini Mental State Exam,MMSE,ID,RID,RID,<class 'numpy.int64'>,,,11853.0,0.0,,False,
Mini Mental State Exam,MMSE,Visit,VISDATE,VISDATE,<class 'datetime.date'>,,,11850.0,3.0,,False,
Mini Mental State Exam,MMSE,MMSE,MMSCORE,MMSCORE,<class 'numpy.float64'>,,,11853.0,0.0,,False,
Mini Mental State Exam,MMSE,Visit,VISCODE2,VISCODE,<class 'int'>,,"228.0, 0.0",11853.0,0.0,,False,
Diagnostic Summary,DXSUM,ID,PTID,PTID,<class 'str'>,"011_S_0002, 011_S_0005, 011_S_0008, 100_S_0015, 023_S_0030",None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,predittore
Diagnostic Summary,DXSUM,Cohort,PHASE,COHORT,<class 'str'>,ADNI1,None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,
Diagnostic Summary,DXSUM,ID,RID,RID,<class 'numpy.int64'>,None,None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,
Diagnostic Summary,DXSUM,Visit,EXAMDATE,EXAMDATE,<class 'datetime.date'>,None,None,2751.0,0.0,"ADNIGO, ADNI2, ADNI3, ADNI4",False,
Diagnostic Summary,DXSUM,Other,DXNORM,DXNORM,<class 'numpy.float64'>,"1.0, nan",None,1129.0,1622.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXNODEP,DXNODEP,<class 'numpy.float64'>,"nan, 1.0",None,85.0,2666.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMCI,DXMCI,<class 'numpy.float64'>,"nan, 1.0",None,1601.0,1150.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMDES,DXMDES,<class 'str'>,"nan, 1, 1|02, 2",None,1601.0,1150.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR1,DXMPTR1,<class 'numpy.float64'>,"nan, 1.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR2,DXMPTR2,<class 'numpy.float64'>,"nan, 1.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR3,DXMPTR3,<class 'numpy.float64'>,"nan, 1.0, 2.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR4,DXMPTR4,<class 'numpy.float64'>,"nan, 1.0, 2.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR5,DXMPTR5,<class 'numpy.float64'>,"nan, 1.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMPTR6,DXMPTR6,<class 'numpy.float64'>,"nan, 1.0, 0.0",None,1592.0,1159.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Diagnosi,DXMDUE,DXMDUE,<class 'numpy.float64'>,"nan, 1.0, 2.0",None,1601.0,1150.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
Diagnostic Summary,DXSUM,Other,DXMOTHET,DXMOTHET,<class 'str'>,"nan, 9, 14, 1, 9|14",None,75.0,2676.0,"ADNIGO, ADNI2, ADNI3, ADNI4",True,predittore
